created_at,id,lang,text,user,source,hashtags,url
Fri Feb 23 23:20:25 +0000 2018,967177355633586176,en,"Our facility was built upon the idea that complete #health, mind and body, begins with a peaceful and welcoming atm… https://t.co/2tYcxEDUIQ",code3denton,"<a href=""http://coschedule.com"" rel=""nofollow"">CoSchedule</a>",['health'],"[URL(URL=https://t.co/2tYcxEDUIQ, ExpandedURL=https://twitter.com/i/web/status/967177355633586176)]"
Fri Feb 23 23:20:22 +0000 2018,967177344539611137,en,“Doing Well Creates a Better Society.” Tom Short.  https://t.co/b7w4kQCw3y &amp;  https://t.co/VD8QOal9tO #wealth… https://t.co/3jMiM17LRj,tirolith,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",['wealth'],"[URL(URL=https://t.co/b7w4kQCw3y, ExpandedURL=http://bit.ly/2lrgOl4), URL(URL=https://t.co/VD8QOal9tO, ExpandedURL=http://bit.ly/2lxFpnH), URL(URL=https://t.co/3jMiM17LRj, ExpandedURL=https://twitter.com/i/web/status/967177344539611137)]"
Fri Feb 23 23:20:18 +0000 2018,967177325510037509,en,I just got in my Femme-Fresh™ Boric Acid Vaginal Suppositories and so far they seem easy to use. Can't wait to see… https://t.co/5ryR2U3fdy,closetsamples,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/5ryR2U3fdy, ExpandedURL=https://twitter.com/i/web/status/967177325510037509)]"
Fri Feb 23 23:20:15 +0000 2018,967177312788721664,und,#samuelBeckett #Health #mindfulness #meditate #Humans #real #meditation #wisdom #wellbeing #survival #stress… https://t.co/4A0Hz5NmOR,margaritarab,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['samuelBeckett', 'Health', 'mindfulness', 'meditate', 'Humans', 'real', 'meditation', 'wisdom', 'wellbeing', 'survival', 'stress']","[URL(URL=https://t.co/4A0Hz5NmOR, ExpandedURL=https://twitter.com/i/web/status/967177312788721664)]"
Fri Feb 23 23:20:11 +0000 2018,967177294765789186,es,CUIDADORAS / ES con Título Habilitante (ID: 1378999) https://t.co/dvrDWVhMXV #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/dvrDWVhMXV, ExpandedURL=http://ift.tt/2FrFDpV)]"
Fri Feb 23 23:20:10 +0000 2018,967177291213221889,es,Acompañante Terapéutico (ID: 1379002) https://t.co/V8beKe1kD7 #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/V8beKe1kD7, ExpandedURL=http://ift.tt/2ERqlcQ)]"
Fri Feb 23 23:20:09 +0000 2018,967177288906432512,es,Est. avanzados de Psicología/Acompañantes Terapéuticos (ID: 1378581) https://t.co/BxR9bLWvdf #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/BxR9bLWvdf, ExpandedURL=http://ift.tt/2FtoKv4)]"
Fri Feb 23 23:20:09 +0000 2018,967177287052513280,es,Esteticista Masajista (ID: 1378998) https://t.co/azjV9VIJRV #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/azjV9VIJRV, ExpandedURL=http://ift.tt/2ENVHRv)]"
Fri Feb 23 23:20:08 +0000 2018,967177284695285760,es,Médico Laboral (ID: 1379001) https://t.co/IrSNAR8yVE #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/IrSNAR8yVE, ExpandedURL=http://ift.tt/2FsFlz3)]"
Fri Feb 23 23:20:07 +0000 2018,967177281822253058,es,Asistente de Ventas para Farmacia (ID: 1378582) https://t.co/XlwZIChJgy #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/XlwZIChJgy, ExpandedURL=http://ift.tt/2ER87s7)]"
Fri Feb 23 23:20:07 +0000 2018,967177278869442565,und,Enfermera/o de Neonatolgia (ID: 1378688) https://t.co/Bj0gPSVVWB #rrhh #empleos #medicina #salud #health,EmpleosMedicina,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['rrhh', 'empleos', 'medicina', 'salud', 'health']","[URL(URL=https://t.co/Bj0gPSVVWB, ExpandedURL=http://ift.tt/2FrM5Nz)]"
Fri Feb 23 23:20:06 +0000 2018,967177277598584832,en,Too much refined #carb in processed #food leads to insulin resistance #obesity type 2 #diabetes #Health #Lowcarb… https://t.co/3XukHlI3bX,250HealthyFoods,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['carb', 'food', 'obesity', 'diabetes', 'Health', 'Lowcarb']","[URL(URL=https://t.co/3XukHlI3bX, ExpandedURL=https://twitter.com/i/web/status/967177277598584832)]"
