created_at,id,lang,text,user,source,hashtags,url
Tue Feb 20 19:58:27 +0000 2018,966039364500418561,en,RT @HealthRanger: Don't underestimate the power of natural remedies. #naturalremedies #health #flu https://t.co/9JrikvKB7a,chaseitstraigh8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='naturalremedies'), Hashtag(Text='health'), Hashtag(Text='flu')]",[]
Tue Feb 20 19:58:20 +0000 2018,966039337107410944,en,"Got some new supps to try. Inulin for fibre and to aid digestion, already take krill but trying myproteins. Take vi… https://t.co/BCqNPxAqdn",trainwithsam,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",[],"[URL(URL=https://t.co/BCqNPxAqdn, ExpandedURL=https://twitter.com/i/web/status/966039337107410944)]"
Tue Feb 20 19:58:17 +0000 2018,966039322284773376,en,Congratulations HDR Arlington office! @Fitwel 3 stars! #hdrsustainability #Health #wellness https://t.co/FawFBToUAH,KimSosArch,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='hdrsustainability'), Hashtag(Text='Health'), Hashtag(Text='wellness')]","[URL(URL=https://t.co/FawFBToUAH, ExpandedURL=https://twitter.com/MWWittmann/status/966035563840266240)]"
Tue Feb 20 19:58:11 +0000 2018,966039297374564352,en,"Try this 10 minute, highly effective #workout. #Fitness #health https://t.co/afRQI4rISt",AmberKirbey,"<a href=""http://www.weebly.com/"" rel=""nofollow"">Weebly App</a>","[Hashtag(Text='workout'), Hashtag(Text='Fitness'), Hashtag(Text='health')]","[URL(URL=https://t.co/afRQI4rISt, ExpandedURL=http://www.thekirbeys.com/4/post/2018/02/tough-it-out-tuesday-it-only-takes-two.html)]"
Tue Feb 20 19:58:07 +0000 2018,966039282040188928,en,"RT @lifesanattitude: #Health #Wellness Series!💪 #AgingGreatFULLy🎤 welcomes @hcoachacademy ""YOUR Health-Self-Life Journey🌄: Staying the Cour…",molson_merlin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='Health'), Hashtag(Text='Wellness'), Hashtag(Text='AgingGreatFULLy')]",[]
Tue Feb 20 19:58:03 +0000 2018,966039265992986631,en,RT @l_stavropoulou: Salomé Azecedo @PatientInnov- #health innovation is coming from the #patients as #users of #healthcare services-they kn…,imtinnovation,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='health'), Hashtag(Text='patients'), Hashtag(Text='users'), Hashtag(Text='healthcare')]",[]
Tue Feb 20 19:58:02 +0000 2018,966039259730890754,en,"IN SEARCH OF AUTHENTIC &amp; HIGHER PURPOSE
https://t.co/6IXXWiqmOe
#creativity #diversity #Spirituality #depression… https://t.co/ULpSgdl9HZ",MassCreativity,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","[Hashtag(Text='creativity'), Hashtag(Text='diversity'), Hashtag(Text='Spirituality'), Hashtag(Text='depression')]","[URL(URL=https://t.co/6IXXWiqmOe, ExpandedURL=http://bit.ly/2kIUHrQ), URL(URL=https://t.co/ULpSgdl9HZ, ExpandedURL=https://twitter.com/i/web/status/966039259730890754)]"
Tue Feb 20 19:58:02 +0000 2018,966039258778820608,en,Join us to learn about the most important #chronic #health conditions facing men today! #MensWellness… https://t.co/aiMBAmRWOG,healthmeans,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='chronic'), Hashtag(Text='health'), Hashtag(Text='MensWellness')]","[URL(URL=https://t.co/aiMBAmRWOG, ExpandedURL=https://twitter.com/i/web/status/966039258778820608)]"
Tue Feb 20 19:58:01 +0000 2018,966039254571896832,en,Make it a #goal to focus on overall #wellness including emotional and physical #health. https://t.co/A3ndFDhmox,OrthoAssocDen,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","[Hashtag(Text='goal'), Hashtag(Text='wellness'), Hashtag(Text='health')]","[URL(URL=https://t.co/A3ndFDhmox, ExpandedURL=http://bit.ly/2DjEfqM)]"
Tue Feb 20 19:57:53 +0000 2018,966039222095196160,en,RT @UFWF: Opinion: Ending #DACA has created a looming public #health crisis https://t.co/v4zqi3w8LU via @HuffPost #health4all #DreamActNow,Ready_CA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='DACA'), Hashtag(Text='health'), Hashtag(Text='health4all'), Hashtag(Text='DreamActNow')]","[URL(URL=https://t.co/v4zqi3w8LU, ExpandedURL=https://www.huffingtonpost.com/entry/opinion-fleming-lopez-daca-health_us_5a846724e4b0774f31d156bb?ncid=engmodushpmg00000004)]"
Tue Feb 20 19:57:49 +0000 2018,966039205909581826,en,Fascinated to hear that the home environment we grew up in impacts our perception of acoustic conditions in our wor… https://t.co/dQ2AoPruyQ,Carrie_Behar,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"[URL(URL=https://t.co/dQ2AoPruyQ, ExpandedURL=https://twitter.com/i/web/status/966039205909581826)]"
Tue Feb 20 19:57:43 +0000 2018,966039180705923078,en,Some ideas to help you take the first step on your path to good #health: https://t.co/YxUdhnmX6P https://t.co/f4mcnRSztV,nikanmsh,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/YxUdhnmX6P, ExpandedURL=http://hlty.us/38ii)]"
Tue Feb 20 19:57:33 +0000 2018,966039136858722304,en,RT @SpRnch: Vegan Fitness Expert Simon Hill ... - https://t.co/racHazZUtW #ChineseCuisine #Diets #FOODANDDRINK #Health #JapaneseCuisine #Ko…,FoodmfgUK,"<a href=""http://www.citizenrecruitment.com"" rel=""nofollow"">Retweet Tweets</a>","[Hashtag(Text='ChineseCuisine'), Hashtag(Text='Diets'), Hashtag(Text='FOODANDDRINK'), Hashtag(Text='Health'), Hashtag(Text='JapaneseCuisine')]","[URL(URL=https://t.co/racHazZUtW, ExpandedURL=http://www.brazilbumbum.com/vegan-fitness-expert-simon-hill-interview/)]"
Tue Feb 20 19:57:31 +0000 2018,966039130290446336,en,I've read many posts on boosting #productivity. Hope to see more content centered around the fact that good physica… https://t.co/adgUc91aTf,RafaySAnsari,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[Hashtag(Text='productivity')],"[URL(URL=https://t.co/adgUc91aTf, ExpandedURL=https://twitter.com/i/web/status/966039130290446336)]"
